file	entry	name	rarity	tier	source	flags	decision	proposed_value	proposed_source	notes
skill	67	Novice Taming	1.1	Common	Generic					
skill	68	Novice Massage	1.2	Common	Generic					
skill	69	Novice Driving	1.1	Common	Generic					
skill	70	Novice Leadership	2.4	Uncommon	Generic					
skill	71	Novice Charisma	1.9	Common	Generic					
skill	72	Novice Medicine	1.5	Common	Generic					
skill	73	Adept Cooking	3.3	Rare	Generic					
skill	74	Literacy	2.2	Uncommon	Generic	REF				
skill	75	Adept Acting	3.4	Rare	Generic					
skill	76	Adept Shooting	3.5	Rare	Generic					
skill	77	Adept Hand-to-Hand Combat	3.6	Rare	Generic					
skill	78	Adept Programming	3.1	Rare	Generic					
skill	79	Adept Mechanics	3.2	Rare	Generic					
skill	80	Adept Biology	3.6	Rare	Generic					
skill	81	Adept Physics	3.8	Rare	Generic					
skill	82	Adept Chemistry	3.7	Rare	Generic					
skill	83	Adept Math	3.9	Rare	Generic					
skill	84	Adept Blacksmithing	3.4	Rare	Generic					
skill	85	Adept Teaching	3.2	Rare	Generic	REF				
skill	86	Adept Blade Weapon Mastery	3.5	Rare	Generic					
skill	87	Adept Blunt Weapon Mastery	3.2	Rare	Generic					
skill	88	Adept Polearm Mastery	3.4	Rare	Generic					
skill	89	Adept Item Construction	4.9	Elite	Generic					
skill	90	Adept Kama Sutra	3.3	Rare	Generic					
skill	91	Adept Taming	3.1	Rare	Generic					
skill	92	Adept Massage	3.6	Rare	Generic					
skill	93	Adept Driving	3.0	Rare	Generic					
skill	94	Adept Leadership	4.2	Elite	Generic					
skill	95	Adept Charisma	4.4	Elite	Generic					
skill	96	Adept Medicine	4.1	Elite	Generic					
skill	97	Expert Cooking	4.4	Elite	Generic					
skill	98	Grooming	1.9	Common	Generic	REF				
skill	99	Expert Acting	4.4	Elite	Generic					
skill	100	Expert Shooting	4.6	Elite	Generic					
skill	101	Expert Hand-to-Hand Combat	4.5	Elite	Generic					
skill	102	Expert Programming	4.1	Elite	Generic					
skill	103	Expert Mechanics	4.2	Elite	Generic					
skill	104	Expert Biology	4.1	Elite	Generic					
skill	105	Expert Physics	4.6	Elite	Generic					
skill	106	Expert Chemistry	4.4	Elite	Generic					
skill	107	Expert Math	4.9	Elite	Generic					
skill	108	Expert Blacksmithing	5.2	Epic	Generic					
skill	109	Expert Teaching	4.8	Elite	Generic					
skill	110	Expert Blade Weapon Mastery	4.9	Elite	Generic					
skill	111	Expert Blunt Weapon Mastery	4.6	Elite	Generic					
skill	112	Expert Polearm Mastery	4.8	Elite	Generic					
skill	113	Expert Item Construction	5.7	Epic	Generic					
skill	114	Expert Kama Sutra	4.5	Elite	Generic					
skill	115	Expert Taming	4.1	Elite	Generic					
skill	116	Expert Massage	4.0	Elite	Generic					
skill	117	Expert Driving	4.0	Elite	Generic					
skill	118	Expert Leadership	5.3	Epic	Generic					
skill	119	Expert Charisma	5.2	Epic	Generic					
skill	120	Expert Medicine	4.9	Elite	Generic					
skill	121	Master Cooking	5.6	Epic	Generic					
skill	122	Makeup	1.2	Common	Generic					
skill	123	Master Acting	5.2	Epic	Generic					
skill	124	Master Shooting	5.3	Epic	Generic	REF				
skill	125	Master Hand-to-Hand Combat	5.5	Epic	Generic					
skill	126	Master Programming	5.7	Epic	Generic					
skill	127	Master Mechanics	5.8	Epic	Generic					
skill	128	Master Biology	6.0	Legendary	Generic					
skill	129	Master Physics	6.3	Legendary	Generic					
skill	130	Master Chemistry	6.1	Legendary	Generic					
skill	131	Master Math	6.1	Legendary	Generic					
skill	132	Master Blacksmithing	5.9	Epic	Generic	REF				
skill	133	Master Teaching	5.8	Epic	Generic					
skill	134	Master Blade Weapon Mastery	5.9	Epic	Generic	REF				
skill	135	Master Blunt Weapon Mastery	5.7	Epic	Generic					
skill	136	Master Polearm Mastery	5.8	Epic	Generic					
skill	137	Master Item Construction	6.3	Legendary	Generic					
skill	138	Master Kama Sutra	6.5	Legendary	Generic					
skill	139	Master Taming	5.1	Epic	Generic					
skill	140	Master Massage	5.5	Epic	Generic					
skill	141	Master Driving	5.0	Epic	Generic					
skill	142	Master Leadership	5.8	Epic	Generic					
skill	143	Master Charisma	5.6	Epic	Generic					
skill	144	Master Medicine	5.7	Epic	Generic					
skill	145	Grandmaster Cooking	6.6	Legendary	Generic					
skill	146	Grandmaster Shooting	6.3	Legendary	Generic					
skill	147	Grandmaster Hand-to-Hand Combat	6.5	Legendary	Generic	REF				
skill	148	Grandmaster Programming	6.9	Legendary	Generic					
skill	149	Grandmaster Mechanics	6.7	Legendary	Generic					
skill	150	Grandmaster Biology	7.0	Mythical	Generic	REF				
skill	151	Grandmaster Physics	7.3	Mythical	Generic					
skill	152	Grandmaster Chemistry	7.1	Mythical	Generic					
skill	153	Grandmaster Math	7.2	Mythical	Generic					
skill	154	Grandmaster Blacksmithing	6.9	Legendary	Generic					
skill	155	Grandmaster Teaching	6.8	Legendary	Generic					
skill	156	Grandmaster Blade Weapon Mastery	6.9	Legendary	Generic					
skill	157	Grandmaster Blunt Weapon Mastery	6.9	Legendary	Generic					
skill	158	Grandmaster Polearm Mastery	6.8	Legendary	Generic					
skill	159	Grandmaster Item Construction	6.7	Legendary	Generic					
skill	160	Grandmaster Leadership	6.4	Legendary	Generic					
skill	161	Grandmaster Medicine	6.5	Legendary	Generic					
skill	162	Divine Cooking	7.3	Mythical	Generic					
skill	163	Divine Shooting	7.4	Mythical	Generic					
skill	164	Divine Hand-to-Hand Combat	7.7	Mythical	Generic					
skill	165	Divine Programming	7.6	Mythical	Generic					
skill	166	Divine Mechanics	7.5	Mythical	Generic					
skill	167	Principle of Life	8.1	Divine	Generic					
skill	168	Principle of Law	8.5	Divine	Generic					
skill	169	Principle of Matter	8.2	Divine	Generic					
skill	170	Divine Formula	8.0	Divine	DxD	REF				
skill	171	Divine Blacksmithing	7.8	Mythical	Generic					
skill	172	Divine Teaching	7.2	Mythical	Generic					
skill	173	Divine Blade Weapon Mastery	7.8	Mythical	Generic					
skill	174	Divine Polearm Mastery	7.8	Mythical	Generic					
skill	175	Divine Blunt Weapon Mastery	7.8	Mythical	Generic					
skill	176	Divine Item Construction	7.9	Mythical	Generic					
skill	177	Divine Leadership	7.4	Mythical	Generic					
skill	178	Divine Charisma	7.9	Mythical	Generic					
skill	179	Divine Medicine	7.5	Mythical	Generic					
skill	180	Novice Interfacing	1.4	Common	Generic					
skill	181	Intermediate Interfacing	2.3	Uncommon	Generic					
skill	182	Adept Interfacing	3.4	Rare	Generic					
skill	183	Expert Interfacing	4.3	Elite	Generic					
skill	184	Master Interfacing	5.8	Epic	Generic					
skill	185	Novice Savoir Faire	1.8	Common	Generic					
skill	186	Intermediate Savoir Faire	2.7	Uncommon	Generic					
skill	187	Adept Savoir Faire	3.8	Rare	Generic					
skill	188	Expert Savoir Faire	4.9	Elite	Generic					
skill	189	Master Savoir Faire	5.9	Epic	Generic					
skill	190	Novice Stealth	1.4	Common	Generic					
skill	191	Intermediate Stealth	2.4	Uncommon	Generic					
skill	192	Adept Stealth	3.6	Rare	Generic					
skill	193	Expert Stealth	4.7	Elite	Generic					
skill	194	Master Stealth	5.8	Epic	Generic	REF				
skill	195	Jack of All Trades	3.2	Rare	Generic					
skill	196	Queen of All Trades	4.6	Elite	Generic					
skill	197	King of All Trades	5.1	Epic	Generic					
skill	198	Ace of All Trades	6.2	Legendary	Generic					
skill	199	Calligraphy	0.8	Trash	Generic					
skill	200	Meditation	2.5	Uncommon	Generic					
skill	201	Etiquette	1.0	Common	Generic					
skill	202	Swimming	1.1	Common	Generic					
skill	203	Novice Performance	1.0	Common	Generic					
skill	204	Intermediate Performance	2.1	Uncommon	Generic					
skill	205	Adept Performance	3.2	Rare	Generic					
skill	206	Expert Performance	4.1	Elite	Generic					
skill	207	Master Performance	5.6	Epic	Generic					
skill	208	Novice Management	1.6	Common	Generic					
skill	209	Intermediate Management	2.6	Uncommon	Generic					
skill	210	Adept Management	3.7	Rare	Generic					
skill	211	Expert Management	4.6	Elite	Generic					
skill	212	Master Management	5.8	Epic	Generic					
skill	213	Novice Discipline	1.2	Common	Generic					
skill	214	Intermediate Discipline	2.5	Uncommon	Generic					
skill	215	Adept Discipline	3.6	Rare	Generic					
skill	216	Expert Discipline	4.8	Elite	Generic					
skill	217	Master Discipline	6.0	Legendary	Generic					
skill	218	Rokushiki	5.0	Epic	One Piece	REF				
skill	219	Caryll Runecraft	4.2	Elite	Bloodborne	REF				
skill	220	Novice Conceptualization	1.9	Common	Generic					
skill	221	Intermediate Conceptualization	2.9	Uncommon	Generic					
skill	222	Adept Conceptualization	3.9	Rare	Generic					
skill	223	Expert Conceptualization	4.8	Elite	Generic					
skill	224	Master Conceptualization	6.2	Legendary	Generic					
skill	225	Divine Conceptualization	9.0	Transcendent	Generic					
skill	226	Soma's Winemaking	5.1	Epic	Danmachi					
skill	227	Quickening	4.7	Elite	Bloodborne					
skill	228	Edna Mode	3.8	Rare	Incredibles					
skill	229	Salt Distillation	0.1	Trash	Generic	REF				
skill	230	Prana Bindu	4.8	Elite	Dune	REF				
skill	231	Novice Communication	1.2	Common	Generic					
skill	232	Intermediate Communication	2.3	Uncommon	Generic					
skill	233	Adept Communication	3.6	Rare	Generic					
skill	234	Expert Communication	4.6	Elite	Generic					
skill	235	Master Communication	5.2	Epic	Generic					
skill	236	Novice Persuasion	1.9	Common	Generic					
skill	237	Intermediate Persuasion	2.7	Uncommon	Generic					
skill	238	Adept Persuasion	3.9	Rare	Generic					
skill	239	Expert Persuasion	4.8	Elite	Generic					
skill	240	Master Persuasion	6.2	Legendary	Generic					
skill	241	Novice Ninjutsu	2.0	Uncommon	Generic					
skill	242	Intermediate Ninjutsu	3.8	Rare	Generic					
skill	243	Adept Ninjutsu	4.5	Elite	Generic					
skill	244	Expert Ninjutsu	5.2	Epic	Generic					
skill	245	Master Ninjutsu	6.4	Legendary	Generic					
skill	246	Mixology	1.8	Common	Generic					
skill	247	Begging	2.4	Uncommon	Generic	REF				
skill	248	Architecture	1.8	Common	Generic					
skill	249	Litigation	2.5	Uncommon	Generic	REF				
skill	250	Gooning	2.3	Uncommon	Generic	REF				
skill	251	Cosplayer	2.3	Uncommon	Generic					
skill	252	Servitude	2.8	Uncommon	Generic					
skill	253	Aura Farming	2.1	Uncommon	Generic	REF				
skill	254	Fishman Karate	5.0	Epic	One Piece	REF				
skill	255	Clowning Around	1.1	Common	Generic					
skill	256	Novice Spycraft	2.1	Uncommon	Generic					
skill	257	Intermediate Spycraft	3.4	Rare	Generic					
skill	258	Adept Spycraft	4.6	Elite	Generic					
skill	259	Expert Spycraft	5.3	Epic	Generic					
skill	260	Master Spycraft	6.2	Legendary	Generic					
skill	261	Stylist	1.7	Common	Generic					
skill	262	Cheer	3.1	Rare	Generic					
skill	263	Novice Fine Arts	1.4	Common	Generic					
skill	264	Intermediate Fine Arts	2.4	Uncommon	Generic					
skill	265	Adept Fine Arts	3.2	Rare	Generic					
skill	266	Expert Fine Arts	4.5	Elite	Generic					
skill	267	Master Fine Arts	5.4	Epic	Generic					
skill	268	Farming	1.9	Common	Generic					
skill	269	Sign Language	0.8	Trash	Generic					
skill	270	Mental Image Blocking	1.9	Common	Batman					
skill	271	Mind Control Resistance	3.1	Rare	Batman					
skill	272	Army Breaker	4.1	Elite	Strike it Rich	REF				
skill	273	Kaiwan Style	5.2	Epic	Kengan Ashura	REF				
skill	274	The Niko Style	6.1	Legendary	Kengan Ashura	REF				
skill	275	Possessing Spirit	3.1	Rare	Kengan Ashura	REF				
skill	276	Kaolan Style	4.7	Elite	Kengan Ashura					
skill	277	Lingshu Chin Na	3.0	Rare	Kengan Ashura					
skill	278	Kujin Style	2.7	Uncommon	Kengan Ashura					
skill	279	Martial Foresight	4.1	Elite	Kengan Ashura					
skill	280	Novice Arms Mastery	2.9	Uncommon	Generic					
skill	281	Intermediate Arms Mastery	3.9	Rare	Generic					
skill	282	Adept Arms Mastery	4.9	Elite	Generic					
skill	283	Expert Arms Mastery	5.9	Epic	Generic					
skill	284	Master Arms Mastery	6.9	Legendary	Generic					
skill	285	Novice Total Concentration Breathing	2.4	Uncommon	Demon Slayer					
skill	286	Intermediate Total Concentration Breathing	3.6	Rare	Demon Slayer					
skill	287	Adept Total Concentration Breathing	4.4	Elite	Demon Slayer					
skill	288	Expert Total Concentration Breathing	5.3	Epic	Demon Slayer					
skill	289	Pre-Initiative	5.4	Epic	Kengan Ashura					
skill	290	Reduced Earth	3.4	Rare	Fate					
skill	291	Ryu's Shotokan	5.7	Epic	Street Fighter					
skill	292	Akuma's Shotokan	6.2	Legendary	Street Fighter					
skill	293	The Shotokan	6.3	Legendary	Street Fighter					
skill	294	Master Total Concentration Breathing	6.1	Legendary	Demon Slayer					
skill	295	Dapping	0.2	Trash	Generic	REF				
skill	296	Boggart's Boiling Brilliance	1.4	Common	Elden Ring	REF				
skill	297	Hacking	2.5	Uncommon	Generic	REF				
skill	298	Crying	0.5	Trash	Generic	REF				
skill	299	Judging	2.7	Uncommon	Generic	REF				
skill	300	Commerce	2.5	Uncommon	Generic					
skill	301	Tax Evasion	1.0	Common	Generic	REF				
skill	302	Kidnapping	1.8	Common	Generic	REF				
trait	1	Nothing Wrong Here	4.1	Elite	Generic					
trait	2	Efficient Physique	2.7	Uncommon	Generic					
trait	3	Hygienic	1.9	Common	Generic					
trait	4	Digestive Expulsion Independence	0.5	Trash	Generic					
trait	5	Blind Eye	1.1	Common	Generic					
trait	6	What's Monogamy	3.0	Rare	Generic	REF				
trait	7	Antibody	2.7	Uncommon	Generic					
trait	8	Longevity	4.5	Elite	Generic					
trait	9	Devil's Advocate	3.4	Rare	Generic					
trait	10	Cardboard World	2.5	Uncommon	Generic					
trait	11	Photosynthesis	3.5	Rare	Generic					
trait	12	Enhanced Stamina	2.2	Uncommon	Generic					
trait	13	Terrifying Presence	3.6	Rare	Generic					
trait	14	Battle Continuation	4.6	Elite	Generic					
trait	15	Mountman	2.5	Uncommon	Generic					
trait	16	Magic Resistance	4.5	Elite	Generic					
trait	17	Energy Acceleration	4.4	Elite	Generic					
trait	18	Headpat	2.2	Uncommon	Generic					
trait	19	Greater Headpat	3.5	Rare	Generic					
trait	20	Efficient Cells	3.9	Rare	Generic					
trait	21	Protection From Arrows	4.2	Elite	Generic					
trait	22	Blessing of Fae	5.6	Epic	Generic					
trait	23	Golden Rule	3.7	Rare	Generic					
trait	24	Hero's Reward	3.8	Rare	Generic	REF				
trait	25	Reward Assurance	2.2	Uncommon	Generic					
trait	26	In Shining Armor	2.8	Uncommon	Generic	REF				
trait	27	Winner's Rights	3.4	Rare	Generic					
trait	28	Kakyoin's Gift	2.5	Uncommon	Generic					
trait	29	King of Disco	2.2	Uncommon	Generic					
trait	30	Mmmm Milk	3.8	Rare	Generic					
trait	31	Animal Lover	1.9	Common	Generic					
trait	32	Taming Specialist	2.6	Uncommon	Generic					
trait	33	Bitch Breaker	2.9	Uncommon	Generic	REF				
trait	34	Sunshine Charm	2.4	Uncommon	Generic					
trait	35	Bad Boy/Girl Charm	2.4	Uncommon	Generic					
trait	36	I Know a Guy	5.0	Epic	Generic					
trait	37	Serene Grace	3.4	Rare	Generic					
trait	38	Voice	3.1	Rare	Generic					
trait	39	Tough Skin	2.2	Uncommon	Generic					
trait	40	Fire Resistance	3.5	Rare	Generic					
trait	41	Water Resistance	3.2	Rare	Generic					
trait	42	Air Resistance	3.6	Rare	Generic					
trait	43	Lightning Resistance	3.5	Rare	Generic					
trait	44	Earth Resistance	3.0	Rare	Generic					
trait	45	Ice Resistance	3.3	Rare	Generic					
trait	46	Thermal Balance	3.9	Rare	Generic					
trait	47	Disney Princess	4.0	Elite	Generic					
trait	48	Sartorial Savant	1.2	Common	Generic					
trait	49	Quantum Disentanglement	4.6	Elite	Generic					
trait	50	Linguist	2.3	Uncommon	Generic					
trait	51	Silent Steps	2.1	Uncommon	Generic					
trait	52	Counter Curse Mantra	3.5	Rare	Generic					
trait	53	Chameleon	2.8	Uncommon	Generic					
trait	54	Perfumer	1.2	Common	Generic					
trait	55	Magpie's Eye	2.4	Uncommon	Generic					
trait	56	Iron Palate	3.1	Rare	Generic					
trait	57	Prophecy	6.7	Legendary	Generic					
trait	58	Winner Takes All	5.0	Epic	Generic					
trait	59	Natural Scent	2.4	Uncommon	Generic					
trait	60	Poisonous	0.2	Trash	Generic					
trait	61	Venomous	2.8	Uncommon	Generic					
trait	62	Iron Man	2.4	Uncommon	Generic					
trait	63	Shiver	3.4	Rare	Disco Elysium					
trait	64	Inland Empire	4.1	Elite	Disco Elysium					
trait	65	Half Light	2.2	Uncommon	Disco Elysium					
trait	66	Volition	4.6	Elite	Disco Elysium					
trait	67	Raphael Ambrosius Costeau	2.6	Uncommon	Disco Elysium					
trait	68	Blood Pack	1.4	Common	Generic					
trait	69	Steady	3.9	Rare	Generic					
trait	70	Empathy	2.7	Uncommon	Generic					
trait	71	Receptive Body	2.8	Uncommon	Generic					
trait	72	White Mage	3.6	Rare	Generic					
trait	73	Endbringer Physiology	8.3	Divine	Worm					
trait	74	Healthy	1.5	Common	Generic					
trait	75	Cardio	1.3	Common	Generic					
trait	76	Nimble	1.6	Common	Generic					
trait	77	Durable	1.7	Common	Generic					
trait	78	Strong	1.8	Common	Generic					
trait	79	Reservoir	2.8	Uncommon	Generic					
trait	80	Breathless	2.1	Uncommon	Generic					
trait	81	Red Tear	3.5	Rare	Generic					
trait	82	Blue Tear	3.4	Rare	Generic					
trait	83	Magician	4.1	Elite	Generic					
trait	84	Pugilist	4.4	Elite	Generic					
trait	85	Esper	4.3	Elite	Generic					
trait	86	Poseidon's Kiss	2.1	Uncommon	Generic					
trait	87	Tinker	3.5	Rare	Generic					
trait	88	Hacker	2.1	Uncommon	Generic					
trait	89	Empath	3.4	Rare	Generic					
trait	90	Grand Mage	7.7	Mythical	Generic					
trait	91	Master Pugilist	7.5	Mythical	Generic					
trait	92	Esgod	7.4	Mythical	Generic					
trait	93	Tinker Supreme	7.9	Mythical	Generic					
trait	94	Gambler	4.3	Elite	Generic					
trait	95	Lady Killer	2.8	Uncommon	Generic					
trait	96	Charming Smile	1.3	Common	Generic					
trait	97	Minty Breath	0.2	Trash	Generic					
trait	98	Loveable Pervert	2.2	Uncommon	Generic	REF				
trait	99	Iron Fist	2.1	Uncommon	Generic					
trait	100	High Specs	6.4	Legendary	Generic					
trait	101	Child Friendly	1.8	Common	Generic					
trait	102	Fast Reflexes	2.1	Uncommon	Generic					
trait	103	Reactive Precognition	4.3	Elite	Generic					
trait	104	Mysterious Stranger	3.3	Rare	Generic	REF				
trait	105	Iron Skeleton	3.5	Rare	Generic					
trait	106	Tough Claws	2.5	Uncommon	Generic					
trait	107	Iron Nerves	2.8	Uncommon	Generic					
trait	108	Smell the Magic	3.4	Rare	Generic					
trait	109	One Size Fits All	1.0	Common	Generic	REF				
trait	110	Salt Detection	0.1	Trash	Generic					
trait	111	Commander	3.6	Rare	Generic					
trait	112	Healing... Fluids	3.7	Rare	Generic	REF				
trait	113	Blessed Child	3.5	Rare	Generic					
trait	114	Undeniable	3.9	Rare	Generic					
trait	115	Aware	3.2	Rare	Generic					
trait	116	Avian Ally	2.5	Uncommon	Generic					
trait	117	Thick Skin	2.1	Uncommon	Generic					
trait	118	Strong Legs	2.4	Uncommon	Generic					
trait	119	Pyromaniac	4.8	Elite	Generic					
trait	120	Cryonist	3.4	Rare	Generic					
trait	121	Nature's Child	3.2	Rare	Generic					
trait	122	Mind Palace	6.2	Legendary	Generic					
trait	123	Polymath	4.4	Elite	Generic					
trait	124	Talented	3.7	Rare	Generic					
trait	125	Persuasive	2.6	Uncommon	Generic					
trait	126	Manager	2.7	Uncommon	Generic					
trait	127	Thinker	4.8	Elite	Generic					
trait	128	Dramatic Tumbleweed	0.3	Trash	Generic					
trait	129	Herbalist	2.1	Uncommon	Generic					
trait	130	Feline Friend	2.9	Uncommon	Generic					
trait	131	Sexual Calibration	2.3	Uncommon	Generic					
trait	132	Golden Shot	1.3	Common	Generic					
trait	133	Ygdar Orus Li Ox	4.9	Elite	Generic					
trait	134	Hero Candidate	3.3	Rare	Generic					
trait	135	Demon Scion	3.6	Rare	Generic					
trait	136	Goth Magnet	2.4	Uncommon	Generic					
trait	137	Background NPC	2.6	Uncommon	Generic					
trait	138	Untraceable	3.8	Rare	Generic					
trait	139	The Favorite	5.7	Epic	Generic					
trait	140	Ex Nihilo	5.0	Epic	Generic					
trait	141	Peerless	3.6	Rare	Generic	REF				
trait	142	Helltaker	3.3	Rare	Generic					
trait	143	Heaventaker	3.5	Rare	Generic					
trait	144	Denied from Oblivion	6.4	Legendary	Generic					
trait	145	Curse Devouring Physique	4.2	Elite	Generic					
trait	146	Mysticism	3.2	Rare	Generic					
trait	147	Hyper Reflexive	4.6	Elite	Generic					
trait	148	Surging Magic Power	4.9	Elite	Generic					
trait	149	Nine Lives	7.0	Mythical	Generic					
trait	150	Scholar	2.1	Uncommon	Generic					
trait	151	Winterman	2.6	Uncommon	Generic					
trait	152	Constant	5.3	Epic	Generic					
trait	153	Master Rider	4.2	Elite	Generic					
trait	154	Dragon Rider	4.4	Elite	Generic					
trait	155	My Master	3.2	Rare	Generic					
trait	156	Corrupting	3.7	Rare	Generic					
trait	157	Pacifism	2.4	Uncommon	Generic					
trait	158	Gym Nut	3.7	Rare	Generic					
trait	159	Fireborn	6.7	Legendary	Generic					
trait	160	High Capacity	5.3	Epic	Generic					
trait	161	Immutable	3.9	Rare	Generic					
trait	162	Ice Monarch	7.2	Mythical	Generic					
trait	163	Fire Monarch	7.3	Mythical	Generic					
trait	164	Earth Monarch	7.4	Mythical	Generic					
trait	165	Sea Monarch	7.1	Mythical	Generic					
trait	166	Sky Monarch	7.9	Mythical	Generic					
trait	167	Hero	4.5	Elite	Generic					
trait	168	Free Bird	3.6	Rare	Generic					
trait	169	Relentless Stamina	4.3	Elite	Generic					
trait	170	Cat's Feet	2.0	Uncommon	Generic					
trait	171	Cuddle King	2.1	Uncommon	Generic					
trait	172	Eagle Eyes	2.2	Uncommon	Generic					
trait	173	Bloodhound	2.8	Uncommon	Generic					
trait	174	Sharp Hearing	2.5	Uncommon	Generic					
trait	175	Soft Hugger	2.6	Uncommon	Generic					
trait	176	Boundless Stamina	4.4	Elite	Generic					
trait	177	Lucky Sukebe	2.3	Uncommon	Generic					
trait	178	Spirit Affinity	3.0	Rare	Generic					
trait	179	Immortal Soul	4.9	Elite	Generic					
trait	180	Last Stand	3.5	Rare	Generic					
trait	181	Lord Death of Murder Mountain	4.5	Elite	Generic					
trait	182	Enhanced Strength	2.5	Uncommon	Generic					
trait	183	Enhanced Agility	2.8	Uncommon	Generic					
trait	184	Enhanced Vitality	2.4	Uncommon	Generic					
trait	185	Enhanced Endurance	2.6	Uncommon	Generic					
trait	186	Dexterous	3.1	Rare	Generic					
trait	187	Vengeful	4.2	Elite	Generic					
trait	188	Masochism	4.5	Elite	Generic					
trait	189	Demon Lord	4.4	Elite	Generic					
trait	190	Item Warranty	3.5	Rare	Generic					
trait	191	Hero Time	4.7	Elite	Generic					
trait	192	In Time of Need	4.0	Elite	Generic					
trait	193	Seamster	2.3	Uncommon	Generic					
trait	194	Wrath Made Manifest	6.6	Legendary	Generic					
trait	195	Pride King	6.6	Legendary	Generic					
trait	196	Gluttonous Abyss	6.6	Legendary	Generic					
trait	197	Free Flier	1.6	Common	Generic					
trait	198	Stable	2.6	Uncommon	Generic					
trait	199	Zenkai Boost	5.6	Epic	Generic					
trait	200	Black Heart	6.3	Legendary	Solo Leveling					
trait	201	Energy Heart	5.8	Epic	Generic					
trait	202	Mana Substitution	4.0	Elite	Generic					
trait	203	Iron Mind	3.3	Rare	Generic					
trait	204	Bloodless	2.2	Uncommon	Generic					
trait	205	Bloodbank	2.7	Uncommon	Generic					
